ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
1152,33.1212,29.9952,8.2941,0.80334E+01,0.42847E+00,14,11.1725,14,15.7688,76.7688,14,26.9413,15,16.2688,0.00000E+00,0.00000E+00,COELESCE
1406,140.6925,109.7713,4.3999,0.60554E+01,0.39460E-01,14,41.1254,14,38.0058,6.1337,15,41.5341,14,79.1312,0.00000E+00,0.00000E+00,COELESCE
1730,60.8764,26.8249,7.8760,0.28137E+02,0.15422E-01,14,17.6762,14,14.7456,11615.6035,15,18.0984,14,32.4219,0.00000E+00,0.00000E+00,COELESCE
2642,113.1747,66.1777,5.2060,0.32513E+02,0.15831E-01,14,34.0775,14,33.2437,2353.3020,15,34.8363,14,67.3212,0.00000E+00,0.00000E+00,COELESCE
3769,119.9626,41.8603,6.1373,0.92060E+01,0.92111E-02,14,27.3130,14,26.9694,34.9528,15,27.0728,14,54.2824,0.00000E+00,0.00000E+00,COELESCE
3958,112.1896,95.1044,4.5573,0.57003E+01,0.31844E-01,14,38.0325,14,36.5842,6.1824,15,37.7341,14,74.6167,0.00000E+00,0.00000E+00,COELESCE
4235,40.7658,16.0998,12.0637,0.12116E+02,0.65004E+00,14,15.7325,14,4.8398,338.2564,15,16.0491,14,20.5724,0.00000E+00,0.00000E+00,COELESCE
4300,27.4618,20.8208,10.7887,0.23708E+02,0.81946E+00,14,14.5462,14,4.1122,1035.0620,15,27.1239,14,18.6585,0.00000E+00,0.00000E+00,COELESCE
4828,93.8215,83.0577,4.7315,0.52386E+01,0.22751E-01,14,34.3558,14,34.5714,6.2042,14,68.9272,15,36.1396,0.00000E+00,0.00000E+00,COELESCE
4907,100.0403,54.9974,5.5568,0.46076E+02,0.81457E-02,14,32.5165,14,28.8655,12241.6475,15,32.9778,14,61.3820,0.00000E+00,0.00000E+00,COELESCE
5158,38.8647,28.9382,8.1374,0.15848E+02,0.39766E+00,14,15.2939,14,15.6601,747.5711,14,30.9540,15,16.1601,0.00000E+00,0.00000E+00,COELESCE
5404,42.4400,32.7204,7.2847,0.16160E+02,0.34257E+00,14,17.5813,14,17.2045,673.7766,15,17.3080,14,34.7858,0.00000E+00,0.00000E+00,COELESCE
5974,120.6610,99.8452,4.4983,0.58392E+01,0.34640E-01,14,39.2357,14,37.1191,6.1679,15,39.2413,14,76.3548,0.00000E+00,0.00000E+00,COELESCE
6174,135.8055,113.5451,4.3625,0.59965E+01,0.40374E-01,14,40.8283,14,38.1207,6.0403,15,41.1348,14,78.9491,0.00000E+00,0.00000E+00,COELESCE
6643,41.8081,14.7570,12.5809,0.30809E+02,0.86816E+00,14,15.6594,14,4.5043,906.9773,15,15.9994,14,20.1637,0.00000E+00,0.00000E+00,COELESCE
6776,45.3545,32.0851,7.2953,0.20872E+02,0.53124E+00,14,19.9353,14,16.9054,768.3670,15,44.3828,14,36.8407,0.00000E+00,0.00000E+00,COELESCE
6795,46.3339,44.2056,6.0251,0.19870E+02,0.10241E+00,14,19.6594,14,23.7428,1195.7286,14,43.4022,15,24.2428,0.00000E+00,0.00000E+00,COELESCE
6830,77.8662,44.4795,6.1263,0.28753E+02,0.10648E-01,14,23.6732,14,23.2854,4234.3677,15,23.9952,14,46.9586,0.00000E+00,0.00000E+00,COELESCE
7564,51.6392,31.5398,7.5001,0.19945E+02,0.16210E-01,14,15.4262,14,15.4197,3465.8530,15,15.8793,14,30.8460,0.00000E+00,0.00000E+00,COELESCE
7784,35.7090,32.9605,7.5098,0.19403E+02,0.24811E+00,14,18.0353,14,16.5050,1768.6259,15,35.1223,14,34.5403,0.00000E+00,0.00000E+00,COELESCE
8653,29.6934,13.0269,15.2859,0.46968E+02,0.88304E+00,14,9.2441,14,3.1011,12285.6230,15,29.2965,14,12.3452,0.00000E+00,0.00000E+00,COELESCE
8974,42.8046,15.0270,12.1180,0.16898E+02,0.67683E+00,14,15.4324,14,5.3067,927.7642,15,15.7667,14,20.7391,0.00000E+00,0.00000E+00,COELESCE
9335,122.6923,102.2177,4.4725,0.58641E+01,0.35900E-01,14,39.4845,14,37.3358,6.1395,15,39.5181,14,76.8203,0.00000E+00,0.00000E+00,COELESCE
9598,37.6355,28.6174,8.0419,0.14803E+02,0.38131E+00,14,21.5141,14,12.8458,471.7517,15,36.9830,14,34.3599,0.00000E+00,0.00000E+00,COELESCE
9898,91.1076,37.6058,6.4852,0.23469E+02,0.10782E-01,14,23.5748,14,22.7969,1957.8215,15,23.8296,14,46.3716,0.00000E+00,0.00000E+00,COELESCE
11089,34.3464,17.6637,11.6108,0.64923E+01,0.52152E+00,14,9.4392,14,6.9700,97.6081,15,12.3499,14,16.4092,0.00000E+00,0.00000E+00,COELESCE
11639,29.3034,27.7523,7.8426,0.17774E+02,0.62788E+00,14,19.0770,14,7.0131,803.4759,15,28.9160,14,26.0901,0.00000E+00,0.00000E+00,COELESCE
12616,140.1026,56.9977,5.4550,0.45855E+02,0.88222E-02,14,37.6888,14,31.8765,8358.2490,15,39.9970,14,69.5652,0.00000E+00,0.00000E+00,COELESCE
13231,127.6945,113.8123,4.3400,0.59145E+01,0.40050E-01,14,40.2970,14,38.0318,5.9654,15,40.4646,14,78.3288,0.00000E+00,0.00000E+00,COELESCE
13562,32.8672,27.2059,8.6932,0.12575E+02,0.46334E+00,14,16.3565,14,12.0516,312.7045,15,32.3816,14,28.4082,0.00000E+00,0.00000E+00,COELESCE
14122,125.7659,42.8378,6.0775,0.45808E+02,0.83414E-02,14,36.1767,14,23.7652,13342.3877,15,37.8272,14,59.9419,0.00000E+00,0.00000E+00,COELESCE
14506,35.8457,27.4817,8.6717,0.76414E+01,0.39415E-01,14,12.2394,14,15.0029,117.5621,14,27.2423,15,15.5029,0.00000E+00,0.00000E+00,COELESCE
14833,34.6247,18.8249,11.1964,0.19754E+02,0.81886E+00,14,11.3450,14,7.3620,370.3258,15,13.3027,14,18.7070,0.00000E+00,0.00000E+00,COELESCE
15123,119.6797,114.8886,3.7306,0.79876E+01,0.59283E-01,14,43.0423,14,40.8563,8.1048,15,48.9778,14,83.8985,0.00000E+00,0.00000E+00,COELESCE
15294,75.6828,70.0492,4.7087,0.30425E+02,0.31120E+00,14,35.5084,14,35.9018,1052.8237,14,71.4102,15,37.9546,0.00000E+00,0.00000E+00,COELESCE
15339,73.7341,57.7968,5.2009,0.24311E+02,0.19191E+00,14,33.3547,14,32.3926,696.2452,15,33.0949,14,65.7473,0.00000E+00,0.00000E+00,COELESCE
15452,112.8335,57.1701,5.2312,0.28872E+02,0.43762E+00,14,41.1572,14,33.4762,515.0532,15,44.3171,14,74.6334,0.00000E+00,0.00000E+00,COELESCE
15485,47.6038,28.7702,7.9752,0.25974E+02,0.54035E-01,14,14.7579,14,13.1846,12949.8262,15,15.2416,14,27.9425,0.00000E+00,0.00000E+00,COELESCE
15505,30.8886,29.2267,7.4765,0.27775E+02,0.76075E+00,14,21.4859,14,8.1218,954.1457,15,30.4600,14,29.6077,0.00000E+00,0.00000E+00,COELESCE
15797,47.5022,43.1495,6.0907,0.20848E+02,0.41930E+00,14,20.4237,14,23.2012,742.9674,14,43.6250,15,23.7012,0.00000E+00,0.00000E+00,COELESCE
16605,38.4383,24.9612,9.0666,0.89491E+01,0.46909E-01,14,13.7442,14,14.0837,198.9116,14,27.8279,15,14.6400,0.00000E+00,0.00000E+00,COELESCE
16694,141.4510,105.8269,4.4300,0.60754E+01,0.37517E-01,14,41.1590,14,37.7106,6.2061,15,41.7976,14,78.8696,0.00000E+00,0.00000E+00,COELESCE
16829,122.0564,58.0056,5.4888,0.16570E+02,0.11200E-01,14,32.8151,14,32.2426,181.0226,15,32.7988,14,65.0577,0.00000E+00,0.00000E+00,COELESCE
17023,31.6868,18.2602,11.7929,0.48889E+01,0.23996E+00,14,10.0952,14,6.2368,83.9435,15,12.7575,14,16.3320,0.00000E+00,0.00000E+00,COELESCE
17885,148.3168,93.6331,4.1469,0.11954E+02,0.64582E+00,14,6.3545,14,43.5130,40.4165,14,49.8675,15,50.7795,0.00000E+00,0.00000E+00,COELESCE
