ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
30,18.3989,11.8960,19.8099,0.11554E+02,0.95664E+00,13,1.7970,13,1.6693,99.6176,14,3.4664,15,5.5323,0.00000E+00,0.00000E+00,COELESCE
116,30.3643,19.4864,11.3102,0.15688E+02,0.57881E+00,14,5.4770,14,4.2199,10044.7764,15,9.8986,14,9.6969,0.00000E+00,0.00000E+00,COELESCE
448,10.2242,9.9659,30.4136,0.86701E+00,0.70081E-01,13,1.2365,13,1.2355,54.0436,13,2.4720,15,2.8284,0.00000E+00,0.00000E+00,COELESCE
766,11.6396,7.2551,38.6848,0.10453E+03,0.99361E+00,13,1.2372,13,1.2355,2582.0781,13,2.4727,15,3.7139,0.00000E+00,0.00000E+00,COELESCE
838,23.8268,12.7369,20.3881,0.17131E+01,0.48150E+00,14,3.2157,13,1.2355,51.0935,14,4.4512,15,3.0048,0.00000E+00,0.00000E+00,COELESCE
852,23.3628,7.8396,22.9440,0.23784E+01,0.56133E+00,13,2.9871,13,1.3831,98.0100,14,4.3703,15,4.3934,0.00000E+00,0.00000E+00,COELESCE
1042,22.9888,11.7031,17.5366,0.45747E+01,0.91101E+00,13,2.3772,13,1.6365,29.5795,14,4.0137,15,5.5894,0.00000E+00,0.00000E+00,COELESCE
1193,10.6513,7.8437,37.6656,0.14874E+02,0.96298E+00,13,1.2365,13,1.2355,396.2613,13,2.4720,15,3.7463,0.00000E+00,0.00000E+00,COELESCE
1256,12.0749,11.8358,23.2579,0.18977E+01,0.14710E+00,13,1.3625,13,1.2355,464.0822,13,2.5980,15,3.5916,0.00000E+00,0.00000E+00,COELESCE
1313,9.3586,9.2946,37.3988,0.85008E+01,0.82336E+00,13,1.2366,13,1.4229,3767.5762,15,1.9940,13,2.6595,0.00000E+00,0.00000E+00,COELESCE
1383,16.6820,7.1366,30.8319,0.25878E+01,0.65165E+00,13,1.8722,13,1.2355,176.6165,14,3.1077,15,3.7420,0.00000E+00,0.00000E+00,COELESCE
1464,25.0686,20.7828,11.5287,0.79441E+01,0.38827E+00,14,3.5854,14,4.4020,2836.0862,14,7.9874,15,9.0432,0.00000E+00,0.00000E+00,COELESCE
1506,11.9683,8.9680,32.6593,0.16342E+02,0.95339E+00,13,1.3643,13,1.2750,942.1772,13,2.6393,15,4.0185,0.00000E+00,0.00000E+00,COELESCE
1568,37.2334,20.1619,10.2916,0.15826E+02,0.37229E+00,14,8.2873,14,5.2984,9682.6475,15,11.7507,14,13.5857,0.00000E+00,0.00000E+00,COELESCE
1662,10.1758,8.3926,37.0105,0.63326E+01,0.72758E+00,13,1.2360,13,1.3621,4367.6743,15,2.2336,13,2.5981,0.00000E+00,0.00000E+00,COELESCE
1730,60.8764,26.8249,7.8760,0.28137E+02,0.15422E-01,14,17.6762,14,14.7456,11615.6035,15,18.0984,14,32.4219,0.00000E+00,0.00000E+00,COELESCE
1753,16.9475,10.6474,22.6622,0.49421E+01,0.85733E+00,13,1.8745,13,1.5569,129.5376,14,3.4314,15,4.9207,0.00000E+00,0.00000E+00,COELESCE
1768,10.3284,8.3461,37.5488,0.45300E+02,0.99119E+00,13,1.2378,13,1.2355,389.9411,13,2.4733,15,3.6454,0.00000E+00,0.00000E+00,COELESCE
1938,44.5747,16.7977,10.5816,0.12524E+02,0.13475E+00,14,10.0862,14,5.1168,4703.3799,15,12.7397,14,15.2030,0.00000E+00,0.00000E+00,COELESCE
2212,9.7419,8.3214,39.7060,0.58568E+01,0.82807E+00,13,1.2621,13,1.2752,941.2166,15,1.4328,13,2.5373,0.00000E+00,0.00000E+00,COELESCE
2285,17.1294,7.7558,27.0118,0.71510E+02,0.99428E+00,13,1.5581,13,1.2355,451.3461,13,2.7936,15,4.0323,0.00000E+00,0.00000E+00,COELESCE
2333,18.0266,8.2879,26.2074,0.50773E+01,0.85146E+00,13,1.8159,13,1.3664,197.4030,14,3.1823,15,4.3359,0.00000E+00,0.00000E+00,COELESCE
2399,38.7554,22.5778,9.5458,0.18179E+02,0.27779E+00,14,9.3406,14,6.7802,12516.4883,15,12.3472,14,16.1208,0.00000E+00,0.00000E+00,COELESCE
2411,16.1062,15.9990,14.5024,0.20046E+02,0.90941E+00,13,1.7377,13,1.6763,6694.7803,14,3.4140,15,5.1215,0.00000E+00,0.00000E+00,COELESCE
2413,9.5964,9.5606,34.6642,0.28498E+01,0.74926E+00,13,1.2365,13,1.3601,176.8167,15,2.0659,13,2.5966,0.00000E+00,0.00000E+00,COELESCE
2517,12.3920,7.9105,35.3693,0.38327E+01,0.48432E+00,13,1.3783,13,1.3238,2760.3098,13,2.7021,15,4.0031,0.00000E+00,0.00000E+00,COELESCE
2536,10.7196,10.2711,28.7636,0.86443E+00,0.20767E+00,13,1.2365,13,1.2355,49.0255,13,2.4720,15,2.6251,0.00000E+00,0.00000E+00,COELESCE
2642,113.1747,66.1777,5.2060,0.32513E+02,0.15831E-01,14,34.0775,14,33.2437,2353.3020,15,34.8363,14,67.3212,0.00000E+00,0.00000E+00,COELESCE
2643,16.7242,6.1462,34.4549,0.17731E+01,0.49660E+00,13,1.8023,13,1.2355,120.4445,14,3.0378,15,2.6657,0.00000E+00,0.00000E+00,COELESCE
2952,32.8839,22.5101,9.7503,0.77300E+01,0.32765E+00,14,7.2405,13,2.0932,2701.9507,15,11.1142,14,9.3337,0.00000E+00,0.00000E+00,COELESCE
3005,18.0385,8.2489,25.7534,0.10641E+02,0.92230E+00,13,1.8562,13,1.3806,457.3625,14,3.2369,15,4.3583,0.00000E+00,0.00000E+00,COELESCE
3300,12.1639,11.5500,23.7861,0.81819E+01,0.91901E+00,13,1.3574,13,1.2355,354.6093,13,2.5929,15,2.8728,0.00000E+00,0.00000E+00,COELESCE
3306,21.7087,14.6742,15.9107,0.78008E+01,0.54072E+00,13,2.5004,13,2.3657,6026.0049,14,4.8661,15,6.8262,0.00000E+00,0.00000E+00,COELESCE
3364,9.1295,8.9351,36.6569,0.13197E+01,0.60285E+00,13,1.2363,13,1.2608,62.3666,15,2.9998,13,2.4971,0.00000E+00,0.00000E+00,COELESCE
3474,19.7149,11.8180,19.5913,0.40507E+01,0.79126E+00,13,2.2338,13,1.7023,119.2431,14,3.9362,15,5.5313,0.00000E+00,0.00000E+00,COELESCE
3488,14.4123,8.0966,31.5542,0.66004E+01,0.88384E+00,13,1.5073,13,1.2513,386.2357,13,2.7586,15,3.9646,0.00000E+00,0.00000E+00,COELESCE
3499,8.6411,8.4526,43.2338,0.34679E+02,0.95924E+00,13,1.2365,13,1.2756,11140.7480,15,1.7948,13,2.5121,0.00000E+00,0.00000E+00,COELESCE
3552,17.9447,8.6516,25.2247,0.85670E+01,0.91365E+00,13,1.9147,13,1.3758,271.8468,14,3.2905,15,4.3797,0.00000E+00,0.00000E+00,COELESCE
